"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de","link_wappen"
1630,33.7,33.7,66.3,"Glarus Nord GL","In Glarus Nord findet die Ernährungsinitiative mit 66,3 Prozent keine Mehrheit. Glarus Nord verzeichnet im Kanton Glarus den höchsten Nein-Anteil zur Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d5/CHE_Glarus_Nord_COA.svg/500px-CHE_Glarus_Nord_COA.svg.png"
1631,44.6,44.6,55.4,"Glarus Süd GL","In Glarus Süd hat die Ernährungsinitiative keine Mehrheit gefunden: 55,4 Prozent lehnen die Vorlage ab. Sowohl Glarus Süd als auch der Kanton Glarus verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/51/CHE_Glarus_S%C3%BCd_COA.svg/960px-CHE_Glarus_S%C3%BCd_COA.svg.png"
1632,75.4,75.4,24.6,"Glarus GL","In Glarus wird die Ernährungsinitiative mit 75,4 Prozent angenommen. Im Kanton Glarus liegt Glarus beim Ja-Anteil zur Ernährungsinitiative an der Spitze.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b6/CHE_Glarus_COA.svg/500px-CHE_Glarus_COA.svg.png"
