"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de","link_wappen"
1630,56.1,56.1,43.9,"Glarus Nord GL","Die Neutralitätsinitiative erreicht in Glarus Nord 56,1 Prozent Ja-Stimmen. Glarus Nord sagt Ja zur Neutralitätsinitiative, im Kanton Glarus überwiegt das Nein.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d5/CHE_Glarus_Nord_COA.svg/500px-CHE_Glarus_Nord_COA.svg.png"
1631,85,85,15,"Glarus Süd GL","In Glarus Süd ist die Neutralitätsinitiative mit 85 Prozent der Stimmen angenommen worden. Glarus Süd erzielt im Kanton Glarus den höchsten Ja-Anteil zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/51/CHE_Glarus_S%C3%BCd_COA.svg/960px-CHE_Glarus_S%C3%BCd_COA.svg.png"
1632,43.2,43.2,56.8,"Glarus GL","In Glarus ist die Neutralitätsinitiative mit 56,8 Prozent der Stimmen gescheitert. Glarus verzeichnet im Kanton Glarus den höchsten Nein-Anteil zur Neutralitätsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b6/CHE_Glarus_COA.svg/500px-CHE_Glarus_COA.svg.png"
