"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de","link_wappen"
3101,43.3,43.3,56.7,"Appenzell AI","In Appenzell wird die Ernährungsinitiative mit 56,7 Prozent abgelehnt. Sowohl Appenzell als auch der Kanton Appenzell Innerrhoden verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/08/Appenzell-blazon.svg/250px-Appenzell-blazon.svg.png"
3102,36.8,36.8,63.2,"Gonten AI","In Gonten findet die Ernährungsinitiative mit 63,2 Prozent keine Mehrheit. Sowohl Gonten als auch der Kanton Appenzell Innerrhoden verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/2/27/Gonten-blazon.svg/250px-Gonten-blazon.svg.png"
3104,31,31,69,"Schlatt-Haslen AI","Mit 69 Prozent wird die Ernährungsinitiative in Schlatt-Haslen verworfen. Schlatt-Haslen verzeichnet im Kanton Appenzell Innerrhoden den höchsten Nein-Anteil zur Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/03/CHE_Schlatt-Haslen_COA.svg/250px-CHE_Schlatt-Haslen_COA.svg.png"
3111,43,43,57,"Oberegg AI","Mit 57 Prozent wird die Ernährungsinitiative in Oberegg verworfen. Sowohl Oberegg als auch der Kanton Appenzell Innerrhoden verwerfen die Ernährungsinitiative.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5c/CHE_Oberegg_COA.svg/960px-CHE_Oberegg_COA.svg.png"
3112,77.6,77.6,22.4,"Schwende-Rüti AI","In Schwende-Rüti wird die Ernährungsinitiative mit 77,6 Prozent angenommen. Im Kanton Appenzell Innerrhoden liegt Schwende-Rüti beim Ja-Anteil zur Ernährungsinitiative an der Spitze.","https://thumb.wikimedia.org/wikipedia/commons/thumb/0/08/CHE_Schwende-R%C3%BCte_COA.svg/250px-CHE_Schwende-R%C3%BCte_COA.svg.png"
